epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,10875.6,0.73126,0.47028,1.00374,0.84373,0.77357,0.82797,0.64694,0.95084,0.85522,1.15756,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11012.9,0.71772,0.46308,1.00095,0.82713,0.78912,0.8279,0.64677,0.94885,0.85668,1.15754,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11152.8,0.71547,0.45753,0.99852,0.83181,0.78333,0.82835,0.64674,0.9481,0.85879,1.15663,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11289.9,0.70997,0.44982,0.99658,0.81943,0.79416,0.82715,0.64554,0.9493,0.86221,1.15879,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11427.5,0.7118,0.4499,0.99398,0.83177,0.78287,0.82655,0.64417,0.94959,0.86535,1.15897,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11565.6,0.70238,0.44274,0.98881,0.82559,0.7846,0.82452,0.6434,0.95105,0.86803,1.15999,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,11705.1,0.69832,0.4413,0.99202,0.82611,0.79044,0.82659,0.64338,0.95133,0.86945,1.1599,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,11841.7,0.68934,0.43593,0.9858,0.82202,0.79283,0.82547,0.64227,0.95099,0.87145,1.15966,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11980.6,0.68593,0.43057,0.98026,0.82272,0.79044,0.82618,0.64213,0.9522,0.87459,1.16138,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12121.5,0.68205,0.42539,0.9822,0.81971,0.79274,0.82504,0.6419,0.95309,0.87773,1.16263,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12259.3,0.67553,0.42465,0.97662,0.82247,0.79075,0.82486,0.64198,0.95274,0.88019,1.16292,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12398.2,0.67186,0.42076,0.97762,0.82052,0.79303,0.82492,0.64141,0.95279,0.88166,1.16377,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,12532.1,0.66671,0.41509,0.97332,0.82887,0.78614,0.82346,0.64,0.9538,0.8834,1.1651,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,12670.4,0.60057,0.33175,0.91627,0.8275,0.7855,0.82294,0.6399,0.95474,0.88483,1.16697,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,12809.3,0.58971,0.32065,0.91604,0.83718,0.77691,0.82261,0.63955,0.95568,0.8881,1.16806,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,12948.3,0.58158,0.31464,0.90779,0.83996,0.77603,0.82266,0.63925,0.95701,0.89008,1.16929,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13086.3,0.57326,0.30725,0.90228,0.8381,0.77739,0.82288,0.63962,0.95677,0.89267,1.16956,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13224.5,0.56965,0.30305,0.90482,0.8313,0.78312,0.82299,0.63914,0.95727,0.89452,1.17008,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,13364.3,0.56436,0.3019,0.90248,0.82902,0.78512,0.82273,0.63874,0.95738,0.89767,1.17028,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,13501.2,0.55505,0.29573,0.89927,0.82991,0.78275,0.82225,0.63816,0.95788,0.89992,1.1718,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,13638.2,0.55052,0.2922,0.89322,0.83458,0.77856,0.82197,0.63823,0.95862,0.90268,1.17289,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,13778.1,0.54864,0.29042,0.89375,0.83253,0.77997,0.8213,0.63768,0.95925,0.90587,1.17384,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,13918.4,0.54349,0.2848,0.8936,0.83229,0.7777,0.82005,0.63668,0.96018,0.90811,1.17499,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
