epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,28991.5,0.22897,0.29098,0.10074,0.94398,0.9322,0.94976,0.46211,0.54174,0.50557,0.75374,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,29386.5,0.21344,0.28024,0.09537,0.95184,0.92571,0.94965,0.49012,0.51099,0.49905,0.71218,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,29785.6,0.23468,0.28851,0.09997,0.9531,0.92162,0.94785,0.49165,0.50506,0.49639,0.71456,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,30184.4,0.23421,0.29004,0.10151,0.95303,0.92653,0.95027,0.47915,0.51966,0.52218,0.75821,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,30582.6,0.23668,0.29413,0.10052,0.94962,0.92825,0.94658,0.44294,0.55483,0.53617,0.81947,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,30977.1,0.22468,0.28339,0.09614,0.95049,0.93397,0.94898,0.45407,0.54696,0.53461,0.79989,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,31369,0.20712,0.27354,0.09234,0.95586,0.92765,0.94835,0.47559,0.52566,0.50793,0.7624,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,31766.7,0.2412,0.29343,0.10079,0.95412,0.93032,0.94749,0.44799,0.54934,0.51349,0.81535,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,32172,0.19739,0.26618,0.08914,0.95072,0.93185,0.95124,0.45713,0.54371,0.52119,0.79732,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,32569.5,0.19349,0.26306,0.08716,0.94699,0.93335,0.94833,0.46043,0.53777,0.52386,0.78441,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,32966.8,0.20327,0.26986,0.08838,0.94528,0.9355,0.95003,0.47279,0.52,0.51838,0.75977,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,33364.1,0.3595,0.32833,0.132,0.94596,0.93347,0.94944,0.47377,0.52221,0.50058,0.77081,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,33756,0.31087,0.32516,0.11792,0.94468,0.93261,0.95046,0.47029,0.5293,0.48493,0.79775,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,34149.2,0.2273,0.28816,0.0958,0.94772,0.93595,0.9521,0.46649,0.53513,0.4879,0.82955,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,34543.4,0.46906,0.361,0.16017,0.94585,0.9279,0.94902,0.44233,0.5635,0.47802,0.87658,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,34935.3,0.37817,0.3248,0.14557,0.93957,0.92211,0.94644,0.42099,0.57951,0.49202,0.87223,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,35331,0.41282,0.35732,0.14461,0.95321,0.92193,0.9452,0.43842,0.56729,0.48173,0.89448,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,35726.6,0.40832,0.35317,0.14358,0.95205,0.92099,0.95014,0.45735,0.54797,0.48324,0.86516,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,35941.5,0.19778,0.26576,0.21472,0.95012,0.94402,0.96247,0.71592,0.29553,0.37969,0.36966,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,36155.1,0.11179,0.19361,0.11548,0.93972,0.95668,0.96917,0.78942,0.22219,0.33844,0.26831,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,36368.3,0.10702,0.18606,0.10898,0.95188,0.94402,0.97012,0.81055,0.20165,0.32622,0.25217,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,36571.5,0.10404,0.18314,0.10981,0.95539,0.9445,0.96973,0.81734,0.19617,0.32416,0.24748,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,36780.9,0.1002,0.17727,0.10068,0.9485,0.95035,0.97083,0.81781,0.1945,0.32377,0.24619,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,36999.1,0.09898,0.17339,0.10141,0.94916,0.94993,0.96953,0.8191,0.19471,0.32437,0.24664,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,37216.9,0.09853,0.17235,0.10033,0.95781,0.9383,0.9695,0.81901,0.19503,0.32465,0.24754,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,37422.9,0.09445,0.16871,0.0954,0.95643,0.94021,0.96977,0.81796,0.19279,0.32797,0.248,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,37622.9,0.09449,0.16828,0.0961,0.95671,0.94279,0.96997,0.81799,0.19236,0.32851,0.24694,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,37823.7,0.09291,0.16547,0.094,0.95533,0.94382,0.97035,0.81787,0.19301,0.32271,0.24823,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
