epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,51367.9,0.51332,0.37354,0.07457,0.77084,0.72187,0.73886,0.31674,0.74282,0.60213,0.54824,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,51962,0.58084,0.37993,0.08405,0.77449,0.71188,0.73493,0.31739,0.73855,0.60698,0.54804,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,52556.6,0.78042,0.37606,0.10772,0.76437,0.71031,0.73459,0.31835,0.72842,0.61708,0.54632,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,53150.3,0.71602,0.37989,0.09935,0.76213,0.70791,0.72961,0.31683,0.72849,0.62351,0.54869,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,53744.2,0.72916,0.38549,0.10362,0.74316,0.71786,0.72533,0.31347,0.73106,0.62677,0.55055,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,54335.2,0.74837,0.38097,0.10534,0.74922,0.7062,0.72399,0.30998,0.73502,0.62838,0.55226,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,54929,0.91585,0.37666,0.13913,0.75062,0.69965,0.71947,0.308,0.7462,0.62566,0.55159,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,55520.5,0.49089,0.3669,0.07543,0.75709,0.69039,0.71517,0.30238,0.77157,0.61577,0.5566,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,56116.8,0.31878,0.33591,0.05735,0.7541,0.67939,0.70783,0.29499,0.80733,0.60393,0.56457,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,56706.2,0.31902,0.33103,0.05616,0.74375,0.67888,0.70454,0.29143,0.81923,0.6034,0.56932,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,57302.9,0.65501,0.3556,0.08732,0.73935,0.67422,0.70153,0.28868,0.82128,0.60726,0.56848,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,57618.9,0.50321,0.37868,0.15974,0.78341,0.73248,0.75138,0.36011,0.75574,0.59514,0.49802,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,57924.8,0.71932,0.3924,0.21401,0.81963,0.73698,0.76798,0.40877,0.71385,0.59767,0.44379,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,58243.8,0.70269,0.40043,0.20975,0.83252,0.75016,0.77894,0.44409,0.67702,0.60102,0.40558,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,58559.8,0.51941,0.38615,0.15363,0.83444,0.7527,0.78321,0.46961,0.64268,0.60964,0.37362,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,58890,0.39027,0.3494,0.11678,0.83284,0.76091,0.79168,0.49433,0.60433,0.61638,0.35046,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,59207.8,0.72253,0.37783,0.19869,0.83421,0.76123,0.79279,0.50907,0.58562,0.61652,0.33232,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,59525.2,0.40641,0.35412,0.1203,0.83118,0.76695,0.79761,0.52382,0.56015,0.62122,0.31846,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,59837.3,0.32035,0.33111,0.10054,0.83026,0.77038,0.80051,0.53645,0.542,0.62261,0.30728,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,60151.7,0.26959,0.31064,0.09264,0.82681,0.7782,0.80321,0.54875,0.52261,0.62599,0.29811,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,60467.6,0.25396,0.30519,0.08935,0.82607,0.78074,0.8062,0.56015,0.50357,0.63169,0.28906,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
